num_detections,total_damage_area_ratio,avg_box_area_ratio,max_box_area_ratio,min_box_area_ratio,var_box_area_ratio,damage_density,class_1_count,class_2_count,class_3_count,class_4_count,class_entropy,mean_confidence,label
5,0.5074507594108582,0.10149015486240387,0.30768150091171265,0.006599871441721916,0.011668683029711246,0.10149015486240387,0,4,0,1,0.5004024235381879,0.8289235830307007,1
7,0.7281883955001831,0.1040269136428833,0.2749074399471283,0.0026938840746879578,0.010913814418017864,0.1040269136428833,0,6,0,1,0.410116318288409,0.7729583382606506,1
6,0.23504173755645752,0.03917362168431282,0.07913628965616226,0.002806923585012555,0.0006779890973120928,0.03917362168431282,0,5,0,1,0.45056120886630463,0.8314135074615479,1
2,0.28815698623657227,0.14407849311828613,0.28649741411209106,0.001659573637880385,0.020283149555325508,0.14407849311828613,0,1,0,1,0.6931471805599453,0.7680395841598511,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1
3,0.7000563144683838,0.23335210978984833,0.5060455799102783,0.045506034046411514,0.03894898667931557,0.23335210978984833,1,2,0,0,0.6365141682948128,0.8109002709388733,1
1,0.19420690834522247,0.19420690834522247,0.19420690834522247,0.19420690834522247,0.0,0.19420690834522247,0,1,0,0,0.0,0.965216875076294,1
4,0.2275567352771759,0.056889183819293976,0.08164843171834946,0.0039556133560836315,0.0009725433774292469,0.056889183819293976,0,3,0,1,0.5623351446188083,0.8146054148674011,1
3,0.6786998510360718,0.22623328864574432,0.5249465703964233,0.054665707051754,0.04494369029998779,0.22623328864574432,2,1,0,0,0.6365141682948128,0.8045797944068909,1
4,0.4290754795074463,0.10726886987686157,0.3528440594673157,0.003188756760209799,0.02037745527923107,0.10726886987686157,0,3,0,1,0.5623351446188083,0.6763871908187866,1
1,0.1409105509519577,0.1409105509519577,0.1409105509519577,0.1409105509519577,0.0,0.1409105509519577,0,1,0,0,0.0,0.5536363124847412,1
3,0.2268933802843094,0.07563112676143646,0.1502320021390915,0.001412183279171586,0.0036912960931658745,0.07563112676143646,1,2,0,0,0.6365141682948128,0.698695182800293,1
2,0.652701199054718,0.326350599527359,0.558964729309082,0.09373646229505539,0.05410933494567871,0.326350599527359,2,0,0,0,0.0,0.5462955832481384,1
2,0.5923330783843994,0.2961665391921997,0.5509502291679382,0.041382864117622375,0.06491472572088242,0.2961665391921997,2,0,0,0,0.0,0.7120954394340515,1
5,0.764233410358429,0.15284667909145355,0.3479912579059601,0.019087309017777443,0.012673616409301758,0.15284667909145355,0,5,0,0,0.0,0.7163811326026917,1
4,0.37667930126190186,0.09416982531547546,0.2516952157020569,0.013549775816500187,0.008614325895905495,0.09416982531547546,2,2,0,0,0.6931471805599453,0.8107091188430786,1
6,0.9795411229133606,0.16325685381889343,0.3540284037590027,0.023312747478485107,0.013511610217392445,0.16325685381889343,0,6,0,0,0.0,0.7997012734413147,1
3,0.3867139220237732,0.12890464067459106,0.31620678305625916,0.03455467149615288,0.017541371285915375,0.12890464067459106,0,3,0,0,0.0,0.677882730960846,1
4,1.140418529510498,0.2851046323776245,0.545620858669281,0.04462902992963791,0.046786725521087646,0.2851046323776245,4,0,0,0,0.0,0.7136631011962891,1
2,0.18069377541542053,0.09034688770771027,0.10471521317958832,0.07597856968641281,0.00020644866162911057,0.09034688770771027,2,0,0,0,0.0,0.8812657594680786,1
3,0.9463318586349487,0.3154439628124237,0.5730165243148804,0.07282433658838272,0.041810501366853714,0.3154439628124237,1,2,0,0,0.6365141682948128,0.7877508997917175,1
2,0.40839576721191406,0.20419788360595703,0.3409581184387207,0.06743763387203217,0.018703363835811615,0.20419788360595703,2,0,0,0,0.0,0.6844192743301392,1
